country_code,city_code,polygons
PE,AQP,"[""hx{bBbdtsL"",""zizbBr~wsLiEaVrRyBhArTl\\}CxI`h@gm@zJoRwBoRcIdMwQ"",""phdcBxansLTwIPiIIoKoCmElBoDfBcDzIoOhU{_@lHmCjVj\\`[n\\gZlSqYxK_FrBOA]Pm_@jP_B^FoDGdB"",""j`ccBxbzsLyZwBaSeN{iAx@yE_Not@_Beh@oB_Hke@nHoBuC{`@aAg_@rFeQmCCwHlL_FuAcA_@gAc@e^fFoUkG`Bwk@p_@kDzXbHvFY`EEn`A]vKdTnqCtqC"",""bo{bBljwsLrGuAS`KcNvBbAcCo@wF"",""ddecBtnzsL"",""h}|bBd|osL"",""jpccB`ywsLoQzd@V`BnPeB~I~Mh@jV~L_B|JwLvP{g@pgAbvArKwEvBuFoAe^~EeAfKmJhEdDbF{HcGyCvMs^qQwTsL|CqFwKyGsQwKhIuHzJ}p@sr@iWlY{Vf["",""dr|bBx}xsLtNdH_@pFt@tC|GfGtFdE`GhDri@tc@nG{G~K`AeUut@cEcLqr@cA"",""~sacBlhpsLtNpRhAvCfE`FnGvJpExF~KhOrAdBrAnBlD`FvAbBxDzFdBpCtr@faAqDpD~GzIrMxLjZtZjBsDjCeEhM}JsPgS}D{D{BsKjIgFtK`C~CkBnDyBlKk[uDgK|DqBnEfDhGkA`L`G~IqVbr@`KyJ{aAqHyZkGsEU{I{BkEcC{AoA{B_AsBq@m@kAw@u@q@oH_YoK}b@yH_VoEuIcKnA{JsEcI~LwZpSi]~Mk@Xi@VQCSLk`@vPoAXz@i_@KoJoCmEjIgOpNiVnMySpHcC}RqTeEjDoWdTgJbIaFfFeC~AyPhPgUtUcPnDgDz@wDW}AIwDbAlLhTnN`Q"",""pk~bBzotsLoKuT~K_^hCaQq@qO}UcWwTeT}KsViO}a@xo@ch@nPpRdEtDnKxKjEbEbCxAd@kAv@Q\\yArImMdFaAhIvFpGoMzIyPhG}CrIvNpDrGpLrM{Hr}@jG~HtBhChAxA|AbDf@lAdFdGzBnD`GbIfBvCtGdIlFtH~CxDdBhCxBnCdBvC`u@feAaa@pc@u^|g@{Rjg@sxA}xAq@m@[a@W[WYUQQOc@c@OM""]"
PE,ASI,"["""",""xkdmAzchrM"",""pprlAxtvrMxa@oQhXkCfK`AhInCnAdFvKlGdCah@mR{lA{^pI}Y|Rkj@fs@"",""n}qlArpurMdQ~a@wd@te@wd@fn@mV_q@fj@k]"",""xz~lArzlrMiLnMwx@fn@bnAx}@zM__@da@kr@"",""bu`mAzcnrMnc@av@{VeXw_@k[gYno@sKlQ"",""jmvlAxsrrM}h@lHhR`lAkDlh@bp@tNzYyDnOyR"",""~mxlAnjvrMln@im@lf@wf@fGkDss@qjAqh@f[sI|C{DZqo@~K"",""r|jlAhixrM"",""h_amA|~hrMwRha@mD|@EzG{CbK`_@lYrWhYnX{a@"",""xcmlA|eyrM~Odi@mXxLkR~O_D}Cb@dFkF~D{EK_@~CcHo@{Eq@dD{D_I{@_IdEqh@ci@xa@uV"",""hw}lAnbrrMvVoGpSib@snAq|@eg@j`@"",""lwhlAhi|rMdYzOjc@gb@mh@ii@kZrV"",""ztmlAfqzrM~R~JnMp@v@_E|CdBhLiNbXwc@cW}m@sgA~j@"",""`wimAn`arMpf@x]if@`u@oi@bv@mUj_@cN{I?wCnCwDcSkJeOuP{]pR{_@vUgf@fk@zZjx@eh@v~@kr@kjAv~@m_Bll@_l@nl@uI"",""nl{lAjnsrMfOgDx`@k[bWcJejAqeAer@fg@""]"
PE,CHB,"["""",""rikv@~hx~Mkr@wkA}hBmEq~@ohAnk@uoAzuAvSd`Ayu@z|Dq{A`k@qq@wmAs|B|tEc_Gfy@_K|zBvdBu\\zm@mtClmDbe@``@gx@h|BgjAbc@iu@bWi_Azh@qdAd{@cg@d{@""]"
PE,CHI,"["""",""rnfh@ptifNqBt^_E~{@pU|QfWcMzx@pnBd]iNp\\_QoEoFkPoRabAsiA{x@w~@j@qH"",""ttfh@|~ifNh@qH{BM}BKiEg@|HszAhCg_ArOiM`NbLjd@|b@oFngBwE~yAua@we@~GeTsC{@qDYFb@fDj@`C~@gGnR"",""z|mh@bynfN_\\~P_Os]f\\oU"",""rikh@hdofNlh@eY|XaSsNcc@aKsX|g@wLlBpDdPaGbApIvWmLrAuK|BqPvBoT}Iqu@ze@eBvA{P|@yPzAw_@_KwA{DgBkCtd@}a@fEmzAhR}B{FqCaD{EiA_HkAue@}IaRcCsTsPgMnbE"",""|nih@jepfN|U|DwBrZjEfUfbA}H~}@qY{Yov@mNrHdBrVyd@hCkY}\\"",""~qfh@lamfN"",""lonh@|gkfNzGnt@aPdIpChGmI~EwBsGsN|Hi[{~@lg@wLpBnD"",""lzfh@fdmfNkX~QuV~TdGfH}@`LlSt@bF|BjBsO{AgBzBkH@BbbAdAoNm\\gNaZ"",""|}eh@ncjfN""]"
PE,CJA,"["""",""jqqj@`}g~MpXqpA~FwXGwg@`[iYdEz_@|PdGfj@sTbEce@~{@A|oAagB|`A`nAe[hg@iHvm@qs@x_@}t@pCiWzAuCzs@{Abj@mOz@cJuFeLpYmRmDuHsNgKyOySnO""]"
PE,CNC,"["""",""lsbqA`nooM"",""`d`qAbgpoM}}Bdl@_pAkpAkuA`~Ced@hzA~d@xu@ntC`o@luE_rC""]"
PE,CUZ,"["""",""xrqqAzd|uL~C}Vsr@oS~VmgAxdB~~@eD|MmAlf@gRu@sBA{WB{JDqE@"",""dinqAllgvLyEjq@nJl|@zAdEpG{AnEyBfFhAhNLfBjC^zFl@bQjCfFhErB`OcKhNwKWsCsEkCaE{BfEkQlEeQpCgBv@sHn@U~JrAzMnDtD@lDWtByB`FsU`@{RcL}NiFsIq@qKiGkDtBgj@pGcV`PlDfOiq@mC}QiKg@cAtNgCda@IhFwDb@uHcGnCkj@fH}tA~F_sAzHQnFzGcIbbB_Cx_@lJf@}@|UjCdRvT_wAgDqy@sAwo@sA_VZ{KoR{@as@LsCtJcAfH}D|TkErZwIrm@wYjrA}I~a@yFln@wBdPmEpMkO|LxDnK"",""v~rqAv|ivLqJmDrBuBjEsSrTnQ{EvT""]"
PE,HUA,"["""",""~`phAhjejMcb@`RcTiy@fWcO_Tkg@z{@e|@jOg~AvkBqdAr_@rz@`LrTz_A_c@v`@kMd_@b|BmkBxw@~\\rdA}uA|TxCyhAk}@zt@ys@rF@tj@cMpM"",""zlphApw_jMpKaiA~`@yTix@s_@ehB_JvOj|A""]"
PE,ICA,"["""",""fmytArfjmMlLvBvP]dm@bFfLlCv@dNfSbGxC}Qdj@rh@axAevBeBqFgcA~V"",""xdxtAtsamM"",""vsxtA`chmMan@`OjHzPkg@bUzGfSzRta@vCpZdc@nHbKaVmNeYeS_LwAoK|e@?|SoD`@o_AuSnE"",""|wxtAzkhmMcNgbB|e@{MrReGd]aLlWmFlDbXxb@_Knv@vEp^~GRk`@hc@oAfWjWhGiCjAyIhTdF_F`a@eIYaGmDuGfNcPoEoA_M_a@zPwDrZf@|VxCbe@aVdPuFZ\\vIvI[nDhDXzIeVcB{L`DP_GeFf@OuEmBy@{QQaChOvh@feAXzVuGxH}H}Gb@_IjF}GqwAgvBm@aCi@cC{bAtWPkU""]"
PE,LIM,"[""nlhhAx`juMj_AuHnA`Otb@uBj@jK_F`NlL|HlGv@vB`JyAbEgZtJmBpFsXjCkAoCwA{BqAiAyAo@}UwO{Ds@}FxAhKv{@FbFdb@}AzEgPfNoGdRjEdf@hMf@{FpYzCiAkJgEbDePuCmb@eKnLac@aByLxAkFfE}FhCyZC}Db@oFpBaJ{`@gu@rRmUfbAuDGiBu`@nB}a@pAkSzToKfNuDxAyzArR"",""leygAvfluMfCh_@jLxL|E|FpRtGfGqWlJmBpLi@Jh@`BXr@GtBbDpBQ~AUVIvArAaGbEeE|GnEpBh@bCz@jA_AjDqF{@aClHzJrBiDtIsFvEhEhF`LeKxFeJf{AaLtSoBlOXhMjFzUnS`NkP|A{Jvc@rOlCkm@`pAdg@vNeCbo@oIq@wG_o@pGkCuYhJaNNuJ_EeCwFqBqDjAqCqDoD{^|OwLv^rIlBjZlKhHUlQuN`Bd@tQ|I`HtH|Cn@tGzLuAvYgNoFoc@aCaUkKwb@iCaTq`A`I}M|@yoBtPiCug@ge@xEge@jGcv@dLpDr_@ocArI"",""~zvhAdicuM_G}m@tMoa@ec@cQhLgInE{RfCwDhEaCxFg@dDta@|Jp@tNaA|IzqA"",""~mshA~huuMlt@h^x_@wpAwOaHTs@qP}H|BsH}LaDqS_EyJk@_VnCd@|V"",""x{shAfqxtM}BcMsFgIcV{w@cCc^e[_z@rp@{\\_@oCeDmWnTyAd@uGlKzEnMiDbKlJo@uQpFuCgPiRwCmSt@kE~ZyC`DoFYgMoHcFkIQkBgCfBmJeS_PwFOgDpKoIgBv@sG~EsCuFoBwBhAqAq@FcFaJeN?sClKtEtHzFzHVtEuOtNc@mDuOsN_E_BaFjS@rH|DhEBhEkF|PkSbIoMh@{JuCwETkM|XVlJ}NFsIbL}EnInGwCtPiDpPdEvLnEzOpSsBnHsBjGnCeCpSqIdK}F~BeItQmQtDiEnRwAtZwC`Z|SdHlV|JxUqIdOkBYhGoDvFxF`V@pC{FH{GmBqf@_GmJbKlH|M{AxOdPrB~OmGl@bUoInEmIGwOhFcNjBrPva@pQ~FQyLvDsAzBzC~FwBpCiKzEgFxFnEzDkHp@mMjBBxBnB|FcE\\{OdGmF`DT`C`NzL{IlMEdI~IlMcHfJyMfNaEvM`CJ~F{DvM]rSiD`Zo@lBkFyF}H}CoHlEBfMcRxEiK\\}CnMwKrHi_@pSyMhA_DkDsQnFyGd@mB\\h@pPcDnN_LgDyAbEmIa@eFuGwIbBkLwBkMiNcIfMiIoGiGpW~EbSbIrLjWrOpEvIdCjTcLjE{PWmFlBfF`CeBrE"",""~okhAfpfvM"",""|bxhArq_uMbDQvr@f[nAHjuAeMmDicByFkbBuiAxKc}@xGqTrEMdEoFdBiVrQ~JpOGpReAJl@rAgD^fCpMfJ|RrCd`@bDnb@zJn@|N{@"",""|twgAr_etM"",""dyzhAjkcuMuDgt@hAsMtEj@v@eBdJbBfOwJkCsWn^aDwDubBrGbAj^nNvKnCJfDpDHj@x@pS~LtFbHrCr@maA`m@bLrRpEEBvBbBGNnUrEKFpD}ECpAxc@qCnEDpBoIlBuW_Am]hAoSjF"",""bzkhA|{ptM}BaU{Bu[t]cG|FiEvGaAnEuAzOcHhFdL`BdLdW_I|DrH`BtGxBfKfC_ApC`I~FdSn@zFrAbJuD|B}GtE{EvA^~Aqu@zVuXnIm@qCiNbAaCvE"",""zathAjd_uMrI_IhJmEjThc@bFdFbAlArBxBeEToYnAmeAzHoYbJcCsBdQqSxIyCxa@kCaA{PeG}EeEoCwEiChD}MdItDjDfD"",""pmphAfstuMp@jPrWg@i@eQjT{AaU_iB{K}_AyIsw@kMyFaDa@`Bx\\uLLNxDyc@jB`CfM~DhKz_@`cAf@xBdAjIxAbUZpOu@lL}Epi@"",""foshAv~fuMqFgr@|U|B`jAuJ`Dta@fMFj@jJy@lO|JfMvJfHje@xR}d@v|@"",""t{qhAdntuM`JDbf@pYiJy_Ai@yVeI_hBMsB_BnCgLr@ml@yD|K``A"",""bsnhA`gytMS~i@gC`g@lAT~T{Odq@gx@`k@iTwn@qmBuUsw@sTuw@q_Ab[}N|D[cCwN~@wBhFpNfhBjNzWjd@do@"",""xjciAlbauM{M}Iu@r@oTuIe\\j`@e`@l@IiCu@@i@a@xAyA`@q@sBo@j@s@k@i@iA_@EkGe@mBtB_@QaAv@YnCZbA_AeA{@cB[ZqByAS_@iNaLd@fF{n@eCkB~iA_s@lZgV`BoAhBuApGqFbDaHeDyA`Jc\\tS|DqExIlDn@tVr@pArDfBdByCzDwA`GkAnC{FhLoIpK{HxJgHcF_J|LtF|DmIjOd@l@eChD`CjDqC~A|FnJpHzE~AoAdZfPwJn^xM`FtEbA`B_@rEzAuGfOiBWsA{@gL|Oqa@qOC{A"",""vnvhApffuMgEei@xy@yIxG~|@dDUtAxS_AF`@`F_j@hDsJkL|@yOk@oI"",""dtphApifuMGnVoIfp@dQtEvUvO|hA|TyDmk@b@y@dBaC~BkCvNePc~@ir@"",""z{vhAx}~tMiE|BcCrDoApFaChK}CzB}DnCqA|@eBByDkEeFyEgTud@oUkf@i]nWA~CgCjKiFaAr@mDk@K^q@KoCk@aFuA{AXoEFsBfM|@`Ciq@_@{Rrm@dJ`JmBvAqEp@@o@fMh@dFbAbAtBBj^aWbKtOCnRmANl@pA_Db@jCxMzIhR~C`a@"",""pfwhApgluMrQ_t@uDcD~_@mt@nIrDgDjHnWvHb@iAvS`Hm@z@xFzCh@cAbERjDm@bKrDyKrQ}I|Q}FzM_NbPwNx]Az@mB{@ad@yMbA_EwD{@cB`FmJiE\\qA"",""`tvhAv~kuMoTt{@jJrC`UdBvK`Cja@nQnEsNrRab@ig@}Op@uDwDeAcBdFiJcEXoAsGiDLy@"",""|lnhApqfuMg@iYnNk^`k@b[lOiWnY~IbXoB|XuI|{Aid@nFno@{iAxJeV_CfFtq@e^oXaz@rC"",""nibiAfcytMbLeEf]_Y|\\k`@nj@gv@jDxEeFlL`WzGnz@zKpNcU|]y@lLgF`_@iFxNoHpEjKzFxNr@rKea@|TgwAl]dAhInHaAlIzg@bS{F|]aHrKbl@yZtCaQfD{T}BcLaG_Ie@r@xG_A^}CI{Gf@yH~C}HpCqQyCgFZ}@l@cCp@iCm@cHt@_KDIz@{HDqAwDcWe@uCm@~DaJeSuD{BfJsw@cLuCc@^wEfCFKsH`JyEWyEyAMVeB"",""bzkiAlr}tMxJxJnLvD`E~Cd`@k_@drAuoAjh@p\\tZ`KmUdu@wLf\\m}@tiC}fCyaByAyHqKcBuBxBlDjKk@zIgEfGWpGyr@|o@aYh^eJ`MiHhWsCaB@eRaE}RcUiJ_c@uAiMs_@`XqDlTjBha@nAhByB|GiCrQ}OqZea@pGaN|LoKnKuE|AmKmPoHu`@yF`m@_z@zd@rZxNmRvM{@nVeR~CmCrDiHrGfDuLdWwEOqBhp@oJ}@iDbItBf^tBfIlG|AnHiBhEgIdAiIqBcEhC_Gu@sFcO_Fh@uJ"",""jbohAnrbuM"",""~_zhAfcbuM"",""dnthApwguMgWnZlE~l@dAbkAxBnVhVpDtFRhTrL~FxAlTm{@~QhFbEiPh@uBh@cCf@iBfB_HXyATkAn@qAhAmEeEeDb@s@"",""fnchAtg`vM"",""z{nhAdhcuM"",""dnohAvuqtMjNwIrHxG`LlEbK?zCoH`GiElVH|FmCnMiC~FhBzEla@qp@h]oFyI{_@mR"",""rmphAlhmuMRpAyMcGyC_@tAx\\eLNJzDuc@hBaCad@{Cak@hB_Z~Fqw@uFK~@gLbAiFp@LtCFpCc[uBib@tf@wC~YgBO~VqIdp@wHX"",""xsohAbmcuM"",""p`hhAtuevM"",""~pehA~psuMfl@lh@jkBau@rBvEjCiAoBuE~ImDl}A}l@j~@kBi@aBu|@jAi@yI_hCa_AcEPsBXyBpP\\bDwJjE}BAHdEq_@`LfE~GzCpIgIdDWrGyi@zSnOhFqCxO"",""jmshAbhmuM|SaBoBeWqAglAaiAiUnLjbAtMdaA"",""tgrhArbduMP{@"",""beohAjvktM"",""r{bhAfccvM"",""pxphA`douM~l@xDhL{@vAiCoB}\\kCkV{Lwz@mMkhAyUcOiQ_FuHX~LjtC"",""vn|hAl{|tMyFsbBtl@kFd[SrFKdDCtDGvHC~FBxBKlAHvBIvBEvZA~XkJxK^UfBxALTvEaJxELtHkCK]zEf|@bMeFvPlDtAcD`H_j@bc@qvAz{@_DcAmFwGsScMo@}@aD@YaDoLeDmSwHaIqD"",""`hugA|`iuMx[eu@~FeNfCkXd`ArIlLbD`FgOrg@lNpXlInNt@ZvGIxEBvCn@fFLlAzXeE|H_@tHzHdd@~Kxn@vNvSlKtXJ~Y`Mc_@tDck@jHsv@rLlD~^ubAfJk_B~GqAgUcLuPsC}C_p@mY"",""lfuhAjxruMyBnHtPbIYp@pF`C`H`DjXgh@pPam@|^odAca@qQwK}BuTkB}JwCPr`AkCjJoZrx@qEfP"",""pqghAjh_vM"",""vd|hAlvhuMcIzD}@jKgIrM}EnHmKiDeDh@iEU]`AyFmCb@gAqDuAyAUcHsCODiAa@m@nA}WsHhDsHgIsDnEaIoe@{ReK{Hzi@oD_@}E`AGwA{SgDVqGu|@nyA_Lti@|a@eGhGpCbDkHbHdOzN{A`FDlK`BxAkO~O|JbK{JlJ|D@fBnB"",""f|qhAdkauM~Cxb@tHjsAboCey@_G_n@lMka@}FgCiFsBgAc@_CaAoAe@s@Yk@Ok@YeAa@uD{Ao{@dFlBx]m`@tCmCg^oJr@{PnFoGvB"",""n~zhAzdduM_DoXuD_t@hAmMxEXd@cBbJlBfOgKuBgW{h@xE{Nx@as@a[aDFnKd_BzDrj@eD}@gAdT"",""pnrhAxnmuMpCnVnEnx@lFnoAfVkCpJf@vS~DrEePlZay@lC{IE}NScq@sFqAoSgLyHe@mScDkVfB"",""|fshAvo{tMoD_]qN}Umv@g`CkYi_AiWk_AfE{Ap^bOhb@xSpFbJn[rx@`Cf_@hVvw@|FvHxB`N`h@rOdZxH|GdFfX`W|EzGYbEkFfBqu@ji@uBFgAgAo@gEv@oNcAJ}@`EeJtB"",""`lthA|uptM"",""|avhAnscuMpEvg@pdAkKhAqR`CH{Cqj@"",""`kbhAp~juMaCah@|iAiQlSt@|GmA|MwHtE[jH\\~u@wGtF~o@"",""jzohA`dcuM`p@fY{Rj\\pY`JvWoBaGqgA_Fkp@oBuJkIuGgAfA|B`Mq[rBiUxDbDdO"",""pgaiAxoauM~[i`@~TvId@q@|MxInBsAB|Ara@nObE_GbFyGnAr@fB\\_J`TdCOrMd`@uL_@_KyAuFjEuL[uH`AyKxEEjCwF{EwL|HyLnGT~B[RkGwOwN{GuAgGcBgGeAXgCcGaCkAuBo@sAsAoKaFfCsAAkF"",""`tahAjgouMb|AjhBFbFfDxDlA}AbWfU|`@cPpCyOoOuFvi@kSXmGjIyDaDoIqE}G|_@{KG_EzBG|JiE_@qDtBqO~Ck[]iPkZfNcf@xFce@nHyoAgg@qCjm@{c@sOsA`K"",""f}nhAfyduMf\\us@~o@nXgc@tt@"",""hozhAhx~tM"",""d}rhAzsbuM"",""h`khAdccuM"",""b_xhAnmztMyT`FsDwFwY}X{H{EjByEuFeCfGmB`QLtKmEuCoTaFmIaW_OmIiMaE_SvF}V|c@fZdm@vP~HtHxEfK|FI@oTrSh@tEpAtIaDbPkB|HkCbAkK_DwOs@aFvEmJ|OoIdJtTuFbPrF`JxWzIgHfObQiApJoAzPd@nBo[vWwA`QGnU`SnI`]hQV`MzBaHxb@n@~DtOTeY`KihB~@ml@dFkjA|K"",""hyzhArkcuMtCjXbi@za@}FfGvChDcHzG`OnOy@zAa@bB@hLdBfBqOxNvJxKyJlJbEPpA|@XnEvUc[hN{BdE_CpC{FpCiGbDyEzO{EhMoX~M{PzMgI~T|M`D}E}KyItDoJjGiJ`CqB`LaG|FiBbA|A`JwD}CkIyN}GmA{FiBsGgAZgCaGaCqAkBg@cDxBmj@dMmC`@gDl@oKhBsB\\aALe@Nm@N_AR[Dy@HUFa@F}@J_ATk@R]Ha@LkAX_B^qWy@i]dAgSfF"",""lzohArvcuM"",""|~}hAnacuMBuBhCsEqAqc@`FEGgDwEDOiUcBBAyBsEHaLuRjnA_v@fClBiFxn@~K_@`@~MxAX[pBbBXfA~@eAx@uCUq@RRbAyB`@f@fBBpGlA\\f@h@k@r@vBl@c@r@yAxAh@^t@@FdCdDI@pFiClAnKfF`BzAeFjCsi@lL"",""d`ohAn|puM"",""heeiAhj{tMsAdGkCzF_EbIiInKrs@vb@j`@zHll@uy@iI{JyEGwEaA_MAqMeI{OeDa@gDrG_@SjGbI|Ab@uE|JuCyI{AiFeAgFR_BtAkAZ}@IaCc@eFt@kLKMxAqHGzAbBcA`B"",""f{ohAth`uM"",""lvmhAfemuMrLtbAtP_D_EgK}B{MaCyc@""]"
